FIPS,Place,Name,qName,MS.MIL.XPND.ZS,MS.MIL.XPRT.KD,NE.CON.GOVT.CD,NE.CON.GOVT.CN,NE.CON.GOVT.KD,NE.CON.GOVT.KD.ZG,NE.CON.GOVT.KN,NE.CON.GOVT.ZS,NE.CON.PETC.CD
ABW,Aruba,Aruba,Aruba,,,,,,,,,
AFG,Afghanistan,Afghanistan,Afghanistan,,,2422842704.82507,150999552745.624,,,,12.2968298457315,21699533096.8044
AGO,Angola,Angola,Angola,14.916394676894,,17765558031.8159,2125999000000,,,,17.2544392259976,78061714870.1802
ALB,Albania,Albania,Albania,4.75454107726989,,1275883511.37814,160711307800,1444951095.20509,-0.27000005216648,48195547400,11.2014275088438,9083307322.5956
AND,Andorra,Andorra,Andorra,,,,,,,,,
ARE,United Arab Emirates,United Arab Emirates,United Arab Emirates,,63000000,48741184479.2376,179002000000,44574070724.5285,-0.272595690075946,163698274735.831,13.6167882235731,204447438132.148
ARG,Argentina,Argentina,Argentina,3.39937312285214,,108153621846.221,1082812431200,80113054449.0149,6.78843899576871,96649356300,18.4969210547127,382707351804.87
ARM,Armenia,Armenia,Armenia,16.9041747961036,,1381202603.03906,660102000000,1351039499.98444,4.49999996114592,160028205800,13.1178522478438,8240328315.53008
ASM,American Samoa,American Samoa,American Samoa,,,,,,,,,
ATG,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,,,216920185.185185,585684500,293519616.557734,40.4157043879908,608000000,16.0012424308664,911351740.740741
AUS,Australia,Australia,Australia,7.36669682549549,83000000,244110158915.051,293396000000,230704791181.118,2.3023574494496,293396000000,18.144285523458,761005907313.42
AUT,Austria,Austria,Austria,1.43660421054721,9000000,75101887610.2966,67716290000,82534344260.9215,2.07064523499683,62317140000,19.9226475248138,198142310563.623
AZE,Azerbaijan,Azerbaijan,Azerbaijan,22.6259449113879,,6585594378.29397,6747600000,,,,12.4082383229128,30087936755.8071
BDI,Burundi,Burundi,Burundi,,,640106556.598006,1006193610000,673930407.921143,-3.00000000042819,679632410800,20.6664334663582,2667359932.9557
BEL,Belgium,Belgium,Belgium,2.20724671074969,11000000,108756197378.109,98061000000,119228295431.624,0.323820833574317,90022722600,23.9029170231592,233074819793.794
BEN,Benin,Benin,Benin,,,1410771333.81633,834400000000,1508368237.39238,12.3892325698043,672200000000,17.0157228215429,5686537903.91234
BFA,Burkina Faso,Burkina Faso,Burkina Faso,9.4774110481599,,2502738002.82188,1480243140400,3159728882.14713,10.332945718174,1037479757100,22.4485786263267,6599235987.01157
BGD,Bangladesh,Bangladesh,Bangladesh,16.2145786934587,,10542515076.5319,819176000000,7990181109.32651,8.75157051386961,431921000000,5.40424073800658,142644794110.612
BGR,Bulgaria,Bulgaria,Bulgaria,4.72663835683241,66000000,8097027884.83337,14286396000,8527301183.188,1.35073167984685,12598200000,16.1298211611901,31390851280.8887
BHR,Bahrain,Bahrain,Bahrain,,,5492021276.59575,2065000000,4903862978.7234,0.326441784548422,1844000000,17.6445658155122,14024787234.0426
BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,Bosnia and Herzegovina,2.71081737636509,,3493187978.45194,6160237000,3957614816.82129,0.779752757030863,5844209800,21.5978097017275,12790151403.459
BLR,Belarus,Belarus,Belarus,4.56000475977594,142000000,8424048635.02254,13416130000,8357268663.83187,-0.400339068947289,170754997.23,14.9217643769907,31579013529.7286
BLZ,Belize,Belize,Belize,,,270032450,540064900,259115524.6163,6.51688626549252,395325600,15.4964325473435,1237350250
BMU,Bermuda,Bermuda,Bermuda,,,,,,,,,
